  1 24.31   3   3   2   3   4   3   2   5   2   2   2   3
  2 22.02   3   3   3   3   3   3   1   3   2   1   3   4
  3 999.0   4   2   3   3   3   4   3 999   2   2   3   3
  4 22.55   5   2   1   3   5   3   1   1   5 999   2   3
  5 27.55   5   2   2   3   3 999   1   3   2   1   1   2
  6 22.00   4   2   2   4   5   3   1   2   1   1   2   2
  7 999.0   2 999   2 999   4   2   1   4   1   1   2   1
  8 22.53   3   2   3   3   4 999   2   3   2   2   2 999
  9 27.83   2   1   2   1   2   2   2   3   2   1   2   2
 10 28.27 999   2   2   2   3   2   2   5   1   2   2   3
 11 21.17   2   1   1   1   3   1   3   3   1   1   2   2
 12 24.14   3   2   3 999   5   4   2   5   3   3   3   2
 13 26.82   3   2   2 999   3   2   2   3   2   2   3 999
 14 25.49   4   2   1   2   1   1   1   5   4   1   2 999
 15 26.85   1   2   1   2   3   3   3   3   2   1   2   3
 16 17.71   1   1   1   1   5   1   2   5   4   3   3   2
 17 25.14   3 999   3 999   4   3   3   1   1 999   5   3
 18 23.86   3   1   2   2   5   5   3   3   2   5   3   2
 19 19.72   5   3   4   5   6   4   4   4   3   3   2   4
 20 999.0   2   2   3   3   4   2   2   4   1   1   3   3
 21 21.21   1   1   1   2   3   3   1   2   1   1   2 999
 22 24.54   2   1   2   2   3   2   3   4   2   2   2   3
 23 999.0   4 999   3   5   5 999   3   3   2   1   3 999
 24 20.86   1   2   1   1   2   1   2   2   1   1   1   1
 25 26.40   6   3   2   5   3   4   4   4   2   2   2 999
 26 27.18   4   2   3   6   5   5   1   6   3 999   5   6
 27 24.95   2   1   2   2   3   2   1   3   1   1   2   2
 28 999.0   3   1   2   2   2   2   2   1   2   2   2   2
 29 24.79   3   2   3   3   5   3   3   5   3   2   4   5
 30 999.0   6   4   3   6   5   4   4   5   3   3   3   4
 31 27.44   2   1   2   2   3   1   1 999   2 999   3   4
 32 999.0   1   1   2   2   4   1   1   3   3   1   3 999
 33 25.24   3   1   2   2   4   2   2   5   3   2   3   3
 34 18.72   1   1   1   1   3   1   1   2   1   1   1   1
 35 21.62   1   1   1   1   3   1   1   2   1   1   3 999
 36 999.0 999   1   3   2   4   2   3 999   3   3   3   3
 37 19.91   6   4   4   6   6   6   4   6   1   1   3   3
 38 27.12   1   1   1   1   2   2   1   1   1   2   2   2
 39 24.99   2   1   1   1   3 999   1   2   1   1   3 999
 40 999.0   6 999   2 999   6   6   3 999   5 999   3 999
 41 24.65   1   1   1   1   3   1   1   2   2   1   3   2
 42 22.29   5   1   2 999   1   1   1   1   1   1   1   2
 43 19.87   1   1   1   1   1   1   1   1   1   1   1   1
 44 999.0   4   3   3 999   4   4   3   3   1   2   1   3
 45 21.05   4   1   1   2   1   2   1   2   1   1   2   1
 46 20.52   6   3   1   3   3   3   1   1   1   1   1   1
 47 23.15   2   2   2   2   3   2   2   4   2   1   2   2
 48 21.03   1   1   2   1   2   1   3   1   2   1   3   1
 49 22.42   3   1   1   2   4   3   1   1   1   1   2   3
 50 22.62   1   1   1   1   2   1   1   2   3   2   3   4
 51 22.34   4   2   1   2   3   2   2   2   1   2   1   2
 52 22.72   1   1   1   1   1   1   1   2   2   2   1   1
 53 999.0   2   1   1   2   1   1   1   2   2   1   1   1
 54 999.0   3   1   2   1   1   2   1   2   1   3   1   1
 55 19.99   6   1   2   2   2   3   3   1   2   2   2 999
 56 22.95   1   1   1   1   1   1   1   2   1   1   2   1
 57 24.55   4 999   3   2   2   3   2   1   2 999   2   2
 58 20.40   1   1   1   1   1   1   1   1   1   1   1   1
 59 19.77   2   2   1   1   3   2   4   1   2   2   1   2
 60 18.21   2   1   2   2   6   4   2   5   4   3   3   3
 61 24.19   2 999   2 999   5 999   3   3   4   3   2   2
 62 24.13   2   2   2   3   5 999   2   2   1 999   3 999
 63 20.24   2   1   2   2   2   2   1   2   2   2   3   2
 64 22.35   3   1 999 999 999 999   1   3   1 999 999   2
 65 24.11   5   2   2   4   1 999   2   1   2   1   1   2
 66 24.04   6 999   4   5   5   5   1   2   2   3   3   5
 67 21.71   6   1   1   1   1   5   1   3   1   1   3   2
 68 24.55   6   2   3   2   5   4   5   4   4   2   4   3
 69 18.76   1   1   1   1   1   2   1   1   1   1   1   1
 70 22.39   1   1   1   1   1   1   2   1   1   1   1   1
 71 24.55   3   4   2   2   3   3   2   3   3   4   3   3
 72 24.19   4   3   2   3   6 999   3   4   3   3   4   5
 73 999.0   2   1   1   1   1 999   1   1   1   1   1   1
 74 23.89   6   3   2   3   6   5   4   5   3   4   5   5
 75 20.18   3   3   2   3   3   2   1   5   2   1   3   3
 76 19.78   2   2   2   2   3   2   2   3   1   1   2   3
 77 18.63   5   1   3   3   2   4   4   5   1   3   3   3
 78 999.0   5   1   3   2   3   2   3   6   1   1   6   5
